danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,is_running
0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097,12PNcnMsjsZ3eHm62t8hiy,4,1
0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,4DHcnVTT87F0zZhRPYmZ3B,4,1
0.49,0.798,6,-3.66,1,0.0489,0.0137,0.0,0.0627,0.479,149.109,7FC9Lng8iXU081lbigu8m8,4,1
0.68,0.85,10,-2.785,1,0.0661,0.207,1.98e-06,0.339,0.71,124.942,1qp0ptMXNg9hqLH8sk7cc2,4,1
0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,5K6Ssv4Z3zRvxt0P6EKUAP,4,1
0.651,0.937,7,-4.078,1,0.0468,0.236,0.0975,0.119,0.666,123.993,67eYAnkdTu8BMcIx29z26L,4,1
0.676,0.741,11,-8.899,1,0.0321,0.0768,0.0275,0.223,0.22,126.005,7Cs64XXRHwh7FY4CwR2aQO,4,1
0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,23RoR84KodL5HWvUTneQ1w,4,1
0.653,0.757,7,-5.341,1,0.0294,0.0114,0.00206,0.379,0.42,123.983,3lddOGjaShpzoNE7Im666L,4,1
0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,22dUzMFttcR3uU17NcOAIv,4,1
0.384,0.962,6,-3.076,0,0.102,0.00623,0.0,0.156,0.44,75.122,7MloegrrB2jp7SNPMEGWqs,4,1
0.687,0.794,1,-6.531,0,0.0594,0.108,0.0,0.112,0.262,123.024,1rLX3vtCSy75DSt2qNg7JM,4,1
0.789,0.753,3,-6.356,0,0.0457,0.178,0.151,0.102,0.434,124.962,7ihVBzv0Gz10R2OnyBDuEk,4,1
0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,6cx06DFPPHchuUAcTxznu9,4,1
0.7,0.865,10,-4.629,0,0.0466,0.00123,0.0724,0.183,0.261,125.009,2fzhcIVl8mja7p55XW4wbK,4,1
0.7,0.852,5,-5.829,0,0.0317,0.00135,0.641,0.0856,0.449,135.035,7Ewp4wV3NqvQb1qBeUc6ek,4,1
0.641,0.748,6,-6.202,0,0.0705,0.0756,0.0,0.0833,0.515,114.019,404MLvCUTawxMkDquPsq24,4,1
0.593,0.852,5,-3.609,0,0.119,0.292,0.000162,0.141,0.397,125.928,0b02ZHphmQGm0lRtHyDDTH,4,1
0.703,0.699,1,-4.479,1,0.0417,0.000612,0.872,0.0702,0.687,124.035,7cgG4VayFME68jToNQyEJH,4,1
0.701,0.88,10,-4.56,0,0.0358,0.182,7.33e-06,0.0649,0.623,124.039,4q05KbxYZ5JdkmrletgPjF,4,1
0.707,0.934,0,-5.911,1,0.0395,0.0967,0.207,0.085,0.546,135.99,1WumDA51R5dHvmRVhmoP6t,4,1
0.853,0.745,7,-7.731,1,0.0775,0.00608,0.00127,0.0885,0.663,124.003,6gxVV1r9nHe9M6BNAwDD38,4,1
0.721,0.806,8,-5.24,1,0.0474,0.00941,0.0,0.382,0.403,124.987,52jJKR0TEmEqEibvZcxozY,4,1
0.852,0.903,8,-5.72,1,0.0434,0.000509,0.0294,0.045,0.0964,124.998,10Nmb8R4aYt93qHkHoeckY,4,1
0.767,0.746,0,-7.708,1,0.204,0.372,3.03e-05,0.103,0.566,123.957,03VWanDhJbtypWQ2hMhkDX,4,1
0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,20on25jryn53hWghthWWW3,4,1
0.773,0.687,9,-7.482,0,0.0396,0.00369,0.00695,0.121,0.259,123.028,3R4titXnzWyZzV7aYjKshT,4,1
0.636,0.869,9,-5.289,1,0.0412,0.0378,0.0446,0.0808,0.306,143.011,5eTaQYBE1yrActixMAeLcZ,4,1
0.768,0.853,2,-5.999,1,0.0406,0.00483,0.00983,0.325,0.383,126.051,58S6bHSWgI9mFiTBlWy56R,4,1
0.742,0.797,11,-6.324,0,0.0421,0.0331,8.13e-06,0.1,0.26,125.007,0IDGbb3NY9pJoMzfkI4Jt4,4,1
0.815,0.443,9,-13.161,1,0.0598,0.38,0.448,0.118,0.074,123.97,2GCAF5wMsd2UxtW3gr6pqv,4,1
0.766,0.688,1,-7.653,1,0.0676,0.517,0.00277,0.0952,0.484,104.978,4S789WIWjSwjwHysiP7EMm,4,1
0.812,0.704,11,-5.046,0,0.045,0.0974,0.000112,0.0455,0.58,120.964,3sfqnnaJ6MkUO32W89jVup,4,1
0.745,0.753,7,-6.867,0,0.0568,0.277,7.09e-05,0.173,0.136,128.011,00SR68yKLJwnJqHICX8SZx,4,1
0.696,0.942,8,-5.812,1,0.0383,0.000953,0.0488,0.171,0.629,125.988,2wmcHrj6taqCnP0KKWp9JR,4,1
0.727,0.789,1,-5.583,1,0.0545,0.0112,0.026,0.303,0.594,126.011,0vN51nuMbDqI6tZQekIFB6,4,1
0.605,0.644,11,-7.438,0,0.126,0.145,4.27e-06,0.457,0.387,122.788,0kgngvN1pR1MHDGV3KilPe,4,1
0.747,0.657,0,-7.652,1,0.0912,0.0967,0.00497,0.278,0.397,128.037,4wP6mzWZC94dYmU6OYeljf,4,1
0.729,0.775,5,-7.956,1,0.0382,0.016,0.157,0.208,0.0609,124.003,5LwFDxTnyK4GWhLmp2ChUb,4,1
0.675,0.94,0,-4.012,1,0.0316,0.000128,0.00784,0.0941,0.203,124.987,4g7DaZ1itKdxqVJqGdb0HP,4,1
0.71,0.557,11,-5.993,1,0.0331,0.145,9.24e-06,0.336,0.186,121.001,3laOhd9QWAHXpOS5AQZ8Rz,4,1
0.654,0.703,7,-8.381,0,0.0401,0.105,0.000558,0.235,0.296,121.935,5sDsJTZWHoXZfLgVXzW6fb,4,1
0.71,0.674,6,-6.352,0,0.0363,0.00554,0.000244,0.151,0.496,120.006,63XMsFx754msFFp4u88Lyy,4,1
0.662,0.848,0,-4.338,0,0.0346,0.0932,7.62e-06,0.241,0.773,123.041,5Hp4xFihdOE2dmDzxWcBFb,4,1
0.957,0.733,6,-6.7,0,0.163,0.0738,0.00086,0.0555,0.652,120.988,0N39VNE62y5Ln2z4zWvypj,4,1
0.539,0.84,6,-8.342,0,0.0337,0.0242,0.253,0.0768,0.113,124.005,2bpHc7nCduKQWJVNqJ4mDj,5,1
0.758,0.876,10,-5.491,0,0.0679,0.0464,0.104,0.0681,0.546,124.899,3J9tou6tbZLBJ9MrvIA0EK,4,1
0.626,0.541,11,-7.769,0,0.0502,0.344,1.06e-05,0.121,0.326,124.18,2KRZKioWRWSmqo01Uq32RN,4,1
0.748,0.902,11,-6.506,0,0.0516,0.0318,0.000121,0.107,0.342,124.031,26rEP2SajbK5tihvIIjyq7,4,1
0.615,0.925,10,-5.846,0,0.122,0.0235,3.03e-05,0.319,0.634,125.065,6edsNtaVJzuBJjAGt6IhoX,4,1
0.697,0.884,8,-6.747,1,0.0359,0.0402,0.257,0.144,0.522,124.996,4tOQlhYV8uAfCHTLctSygb,4,1
0.87,0.856,6,-7.687,1,0.12,0.0168,5.2e-06,0.186,0.355,125.009,5EMHkOawMV6ziGsWTQ5mww,4,1
0.755,0.589,6,-8.059,0,0.0336,0.276,5.53e-05,0.155,0.412,115.971,1wAWAzMwQZIue5P3tvBAiV,4,1
0.607,0.767,5,-6.069,0,0.0474,0.118,0.0,0.122,0.662,123.998,3rb0tMq42WfggucPm0HHkA,3,1
0.688,0.798,9,-6.007,0,0.0454,0.00254,0.575,0.105,0.295,122.03,5mPpZmcET8IClgFoCvX4wc,4,1
0.748,0.841,10,-6.05,0,0.0535,0.021,0.0023,0.174,0.384,123.98,76gGrpTMHp1F5H6bcUjbxl,4,1
0.726,0.898,2,-7.822,1,0.0836,0.011,0.857,0.276,0.266,124.957,76BNldyivp9gtiWEyWYxsM,4,1
0.499,0.778,6,-6.281,0,0.123,0.000891,0.256,0.192,0.289,133.999,6g0KrLgEhKk4sLzmiZaLBd,4,1
0.714,0.938,1,-4.696,1,0.0663,0.0416,0.0,0.179,0.356,124.023,7m8NB6FM7ZG9Doxo9WlmeV,4,1
0.682,0.799,8,-4.489,0,0.0832,0.00459,0.00218,0.0699,0.49,126.024,23JOBt7RV42oB3VGTADrGO,4,1
0.75,0.703,9,-6.625,0,0.0483,0.202,2.92e-06,0.539,0.298,119.004,3M99nYJGOVmffalATkzDkX,4,1
0.783,0.775,5,-4.785,1,0.0547,0.0829,2.91e-05,0.164,0.374,122.972,7E7uyDsfg2GPq4T2DLQaXP,4,1
0.853,0.729,10,-6.074,0,0.0576,0.107,0.00109,0.0704,0.822,120.103,6juvcBLMK4L2GtIA4GzDq6,4,1
0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4uUG5RXrOk84mYEfFvj3cK,4,1
0.723,0.907,11,-4.942,0,0.0721,0.0169,0.575,0.215,0.817,124.994,0zwpMtGTR0uPVw212hU65j,4,1
0.778,0.785,11,-5.589,0,0.0573,0.0804,0.529,0.27,0.4,125.02,6gHEqt6G3zzslXN0i2Xnxs,4,1
0.829,0.808,4,-10.04,0,0.112,0.0814,0.0899,0.052,0.482,123.961,0f01JwLlakcpiGoigEHLSv,4,1
0.799,0.892,10,-4.999,0,0.0358,0.0189,0.00131,0.0591,0.934,125.023,3ck2KxuP99yTwWzdf8piiC,4,1
0.699,0.835,9,-6.134,0,0.0472,0.18,0.0464,0.138,0.599,119.987,3yMuP1l8BqhaylxWkuCLBm,4,1
0.743,0.852,0,-5.909,1,0.0588,0.203,2.34e-05,0.0948,0.552,120.954,7DligtoRPXrRqUQRD0wz1n,4,1
0.637,0.956,4,-3.083,0,0.0687,0.0019,0.133,0.0831,0.621,126.016,76kEMk3O730fMSvKnHmH9d,4,1
0.811,0.724,5,-8.568,1,0.0647,0.668,0.00151,0.116,0.0708,122.987,6PGn94ZIu6g8nCwOUuxvf2,4,1
0.75,0.927,1,-6.375,1,0.0595,0.000824,0.414,0.0422,0.463,128.02,5v5I7Gn4BItEtTtjOqKzq5,4,1
0.687,0.655,8,-6.111,0,0.0369,0.0391,0.0,0.305,0.597,126.016,57lio22IReowFvXxaRGxA4,4,1
0.842,0.893,10,-5.14,0,0.0482,0.000674,0.048,0.0737,0.556,125.014,1oeFuVvnNGCho9zO7WxwLJ,4,1
0.713,0.815,0,-4.268,1,0.0454,0.0183,0.0193,0.08,0.504,123.02,5HqE39vRYVwIXOmMKd9Sb3,4,1
0.783,0.701,8,-7.49,1,0.0448,0.124,0.0,0.0402,0.606,126.077,7unT8Xypvywz4uBuCfc7Hg,4,1
0.626,0.723,1,-7.714,0,0.032,0.328,0.686,0.104,0.137,124.004,0UZS8SBXA00YYxkwrjQqTp,4,1
0.792,0.612,6,-7.696,1,0.0526,0.00108,0.941,0.0926,0.235,124.014,6Un5iA6xu9ciZ4udPqAqYK,4,1
0.795,0.939,2,-3.969,1,0.289,0.00638,3.78e-06,0.0758,0.434,126.165,3A704fXV313QmV7SIGEdVe,4,1
0.757,0.853,10,-6.047,0,0.0456,0.0989,2.66e-05,0.12,0.465,124.976,0CVbNfzex8UocMlfKhcpQ1,4,1
0.762,0.936,6,-5.628,0,0.0405,0.00308,0.347,0.0719,0.644,123.98,7vsNEZ1uhphvl13RmJlZjh,4,1
0.57,0.889,6,-5.217,1,0.0296,0.000526,0.0159,0.0847,0.527,126.032,45McujKVKMLsq8kLazwcRb,4,1
0.584,0.889,1,-5.941,0,0.0343,0.0462,0.828,0.309,0.464,126.04,5UqCQaDshqbIk3pkhy4Pjg,4,1
0.721,0.682,4,-7.357,0,0.051,0.0394,0.0318,0.11,0.332,124.014,0MnnIjj5ZVEASB9bJPylKO,4,1
0.751,0.793,2,-7.269,1,0.0507,0.271,0.00173,0.187,0.197,122.031,3T72t9omDieTDzkz1zWBT5,4,1
0.715,0.875,6,-5.638,0,0.0751,0.0116,0.000874,0.0538,0.637,124.024,0OooGQYQ7coGBX3tgdMUJC,4,1
0.7,0.923,7,-2.85,1,0.0324,0.000927,0.00826,0.0966,0.904,127.952,6Wtc1K3dvTIEsWU3rSIZXn,4,1
0.706,0.908,10,-6.655,0,0.0508,0.0145,0.368,0.0929,0.173,122.055,2D2MgergMBwMwgOL0I12d3,4,1
0.856,0.881,11,-5.632,1,0.0618,0.00964,0.00231,0.0657,0.768,122.013,2Ze7IymEfWUEWMMJrP3KTz,4,1
0.606,0.853,5,-4.601,0,0.0392,0.00673,1.19e-06,0.241,0.333,122.001,2VN3QrKl8iAgElarbGLYRC,4,1
0.748,0.739,2,-8.828,1,0.0551,0.507,0.165,0.153,0.185,125.007,5TysSU0Tol3172WR2XSozZ,4,1
0.736,0.657,0,-7.512,1,0.0668,0.179,4.29e-06,0.118,0.548,115.989,73ThEGwF5i9GrsXXGyZBRa,4,1
0.884,0.822,4,-5.921,1,0.0973,0.0158,0.485,0.0969,0.587,125.0,1ZRblW8yUDxpcF4gvk5BSC,4,1
0.873,0.904,5,-5.115,0,0.0887,0.00639,0.645,0.127,0.726,123.99,4Xkdfmov7xsPgvoC0nK910,4,1
0.716,0.622,2,-5.161,0,0.0278,0.00646,5.33e-06,0.124,0.576,124.005,6TO1XrGYwdw5y6lx3x5Aa7,4,1
0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,6Dy1jexKYriXAVG6evyUTJ,4,1
0.701,0.668,9,-6.555,0,0.0729,0.011,1.98e-06,0.166,0.692,124.106,3YnOIhATp9QC9OxJb3pDfg,4,1
0.775,0.779,8,-5.06,1,0.0398,0.176,2.15e-05,0.281,0.422,124.019,0Vflf9iogDKCaYKRpSwLwU,4,1
0.784,0.734,11,-5.544,0,0.126,0.0606,2.1e-05,0.156,0.678,119.973,1eKQ7hVCUHVxFrjBcxJC0V,4,1
0.697,0.766,7,-6.738,1,0.0501,0.0354,8.54e-06,0.103,0.564,125.908,3jz02A9rGkOVMGuhoE6Edv,4,1
0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031,6f3Slt0GbA2bPZlz0aIFXN,4,1
0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,5YaskwnGDZFDRipaqzbwQx,4,1
0.667,0.856,6,-7.998,0,0.0387,0.00868,0.102,0.0775,0.673,124.992,6997Kt5D5ydzgFhwrVcz1D,4,1
0.644,0.565,4,-8.156,0,0.0606,0.343,1.12e-05,0.115,0.355,128.052,6xg4Auc6lQ75fTuzckPdMF,4,1
0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,0G21yYKMZoHa30cYVi1iA8,4,1
0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,2SiXAy7TuUkycRVbbWDEpo,4,1
0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,1JSTJqkT5qHq8MDJnJbRE1,4,1
0.801,0.723,10,-4.985,0,0.0689,0.0713,0.154,0.0675,0.883,109.03,5eU8qMd0TpaLqTGDZJaLDs,4,1
0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,7snQQk1zcKl8gZ92AnueZW,4,1
0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,39shmbIHICJ2Wxnk1fPSdz,4,1
0.667,0.655,2,-9.339,0,0.0367,0.0491,0.000894,0.0641,0.657,134.212,4yqtwO7MQIIXqoiRBPHAgR,4,1
0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,2WfaOiMkCvy7F5fcp2zZ8L,4,1
0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,37ZJ0p5Jm13JPevGcx4SkF,4,1
0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,3dPQuX8Gs42Y7b454ybpMR,4,1
0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131,0GONea6G2XdnHWjNZd6zt3,4,1
0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,2m1hi0nfMR9vdGC8UcrnwU,4,1
0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,6GG73Jik4jUlQCkKg9JuGO,4,1
0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,07q0QVgO56EorrSGHC48y3,4,1
0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,5ChkMS8OtdzJeqyybCc9R5,4,1
0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,7N3PAbqfTjSEU1edb2tY8j,4,1
0.5,0.501,0,-8.284,0,0.0376,0.462,0.0,0.26,0.623,144.438,0cGG2EouYCEEC3xfa0tDFV,4,1
0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,59WN2psjkt1tyaxjspN8fp,4,1
0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,6PwjJ58I4t7Mae9xfZ9l9v,4,1
0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,5tVA6TkbaAH9QMITTQRrNv,4,1
0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535,6imjJij6aCM0IbbODUzJQn,4,1
0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,7ACxUo21jtTHzy7ZEV56vU,4,1
0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,3MrRksHupTVEQ7YbA0FsZK,4,1
0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,4gvea7UlDkAvsJBPZAd4oB,4,1
0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,3fH4KjXFYMmljxrcGrbPj9,4,1
0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,0HEmnAUT8PHznIAAmVXqFJ,4,1
0.45,0.656,2,-7.049,1,0.0472,0.664,3.02e-06,0.259,0.782,106.61,3MrWxJaD2AT0W9DjWF64Vm,4,1
0.398,0.927,9,-4.212,1,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106,4dVbhS6OiYvFikshyaQaCN,4,1
0.568,0.844,9,-5.875,1,0.0505,0.000189,0.0,0.0607,0.766,116.046,1HNE2PX70ztbEl6MLxrpNL,4,1
0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,4KfSdst7rW39C0sfhArdrz,4,1
0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,0PdM2a6oIjqepoEfcJo0RO,4,1
0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,0Puj4YlTm6xNzDDADXHMI9,4,1
0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,05RgAMGypEvqhNs5hPCbMS,4,1
0.342,0.91,4,-7.748,1,0.0758,4.02e-05,0.000121,0.0823,0.547,140.452,6EPRKhUOdiFSQwGBRBbvsZ,4,1
0.502,0.924,4,-6.299,1,0.0503,0.0127,0.0,0.162,0.922,149.186,1hlveB9M6ijHZRbzZ2teyh,4,1
0.398,0.952,4,-6.042,1,0.061,0.000373,7.75e-05,0.1,0.584,122.093,0dOg1ySSI7NkpAe89Zo0b9,4,1
0.53,0.864,4,-4.948,0,0.061,0.000753,0.000459,0.354,0.484,166.312,4TIJ7zSBNejpoIPaWpWRKc,4,1
0.402,0.914,9,-5.215,1,0.142,0.000579,0.0,0.065,0.626,196.505,4KacUpvbA3Mfo05gttTjhN,4,1
0.554,0.963,6,-3.762,0,0.035,0.000244,0.0702,0.431,0.918,128.175,1ChulFMnwxoD74Me8eX2TU,4,1
0.494,0.939,1,-3.127,1,0.126,0.00666,0.0,0.139,0.893,177.751,0BRHnOFm6sjxN1i9LJrUDu,4,1
0.691,0.812,0,-7.772,1,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,39lSeqnyjZJejRuaREfyLL,4,1
0.494,0.946,4,-2.757,1,0.0637,0.00129,0.0,0.398,0.741,103.408,33iv3wnGMrrDugd7GBso1z,4,1
0.365,0.763,11,-9.45,0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,7txxAtOMwLLnQTpKeBL6bp,4,1
0.511,0.942,0,-10.407,1,0.0429,0.174,1.87e-05,0.139,0.498,97.909,2gQaQUhDCNGfBVXTvxAmXQ,4,1
0.475,0.899,9,-4.321,0,0.0637,0.00375,1.91e-05,0.14,0.603,152.445,0X1sqQ652p1sceKM2nJlIJ,4,1
0.482,0.617,4,-12.931,0,0.0458,0.00543,0.000146,0.284,0.718,125.697,58XWGx7KNNkKneHdprcprX,4,1
0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,57JVGBtBLCfHw2muk5416J,4,1
0.599,0.931,7,-4.653,1,0.0735,0.0302,6.69e-05,0.392,0.536,140.123,549Go7a66CX6k523uK9kUv,4,1
0.797,0.872,9,-6.727,0,0.0575,0.291,0.0,0.284,0.866,129.885,56KqaFSGTb7ifpt16t5Y1N,4,1
